creationTimestamp | Name | Reason | Host | Component | Message
2024-02-16T10:41:33Z | testhttpserver-1.17b451cb915882af | BuildCompleted | null | build-controller | Build brms-nayan/testhttpserver-1 completed successfully
2024-02-16T10:41:35Z | testhttpserver-1-rktp4.17b451cbf780775e | AddedInterface | null | multus | Add eth0 [10.131.0.187/23] from ovn-kubernetes
2024-02-16T10:41:35Z | testhttpserver-1-rktp4.17b451cbfa220cd1 | Pulling | worker-2.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Pulling image "image-registry.openshift-image-registry.svc:5000/brms-nayan/testhttpserver@sha256:cbdfc864b4641490f595cb08f927fdda4ca7cef47bb7e43b360944247d6b4039"
2024-02-16T10:41:37Z | testhttpserver-1-rktp4.17b451cc75ef2f9b | Pulled | worker-2.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Successfully pulled image "image-registry.openshift-image-registry.svc:5000/brms-nayan/testhttpserver@sha256:cbdfc864b4641490f595cb08f927fdda4ca7cef47bb7e43b360944247d6b4039" in 2.076555894s
2024-02-16T10:41:37Z | testhttpserver-1-rktp4.17b451cc948b102d | Created | worker-2.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Created container testhttpserver
2024-02-16T10:41:37Z | testhttpserver-1-rktp4.17b451cc96040d66 | Started | worker-2.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Started container testhttpserver
2024-02-16T10:42:23Z | testhttpserver-0xkf37-fetch-repository-pod.17b451d748d5b8e5 | FailedScheduling | null | null | 0/6 nodes are available: 6 pod has unbound immediate PersistentVolumeClaims. preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.
2024-02-16T10:43:18Z | testhttpserver-1-82xks.17b451e419ac354b | Scheduled | null | null | Successfully assigned brms-nayan/testhttpserver-1-82xks to worker-2.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com by master-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com
2024-02-16T10:43:18Z | testhttpserver-1-rktp4.17b451e41be5b73d | Killing | worker-2.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Stopping container testhttpserver
2024-02-16T10:43:18Z | testhttpserver-1.17b451e4185d9dd7 | SuccessfulCreate | null | replication-controller | Created pod: testhttpserver-1-82xks
2024-02-16T10:43:20Z | testhttpserver-1-82xks.17b451e490d32642 | AddedInterface | null | multus | Add eth0 [10.131.0.188/23] from ovn-kubernetes
2024-02-16T10:43:20Z | testhttpserver-1-82xks.17b451e493b875e7 | Pulling | worker-2.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Pulling image "image-registry.openshift-image-registry.svc:5000/brms-nayan/testhttpserver@sha256:cbdfc864b4641490f595cb08f927fdda4ca7cef47bb7e43b360944247d6b4039"
